video,yt_id,duration,title,singer,audio,lyric,year,match,pn,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio
Do Men Cry (남자도 우나요),ADQhv2u6vyo,3:54,남자도 우나요,다비치,Q3,Q3,2012,3,0,0.16143810377452444,1144.5638855793327,547.9978338378821,65.40639132514966,482.59144251273244,0.009250958450138569,34999250,0.35009752225472596
"다비치(Davichi) - 괜찮아 사랑이야(It's alright This is Love) _ 다비치 괜찮아 사랑이야 듣기, 가사",eJoLpIXTRd0,4:06,괜찮아 사랑이야,다비치,Q3,Q3,2014,3,0,0.182369093835811,912.6584473547031,160.1218501126406,65.40639132514966,94.71545878749095,0.013433551415801048,27156840,0.24545484668033674
2NE1 - LONELY M_V,5n4V3lGEyG4,3:31,Lonely,2NE1,Q3,Q3,2011,3,0,0.18890239858516636,415.15887640253675,154.66751207845843,65.40639132514966,89.26112075330877,0.004989308305084705,16516586,0.20370471412421798
2NE1 - It Hurts (아파 ) [Han_Rom_Eng Color Coded Lyrics],49ULVOpHkN8,4:17,아파,2NE1,Q3,Q3,2010,3,0,0.18232844468585913,730.0155846639908,845.1281916448838,65.40639132514966,779.7218003197341,0.002503178780898452,73311182,0.6054921639460346
2NE1 - 그리워해요 [가사_Lyrics],MfnGthGj72g,3:40,그리워해요,2NE1,Q3,Q3,2013,3,0,0.2101364934927521,917.8267317369999,195.99771799087463,65.40639132514966,130.59132666572498,0.010214507579803467,17849036,0.20163874615634328
[Lyrics Video] BOL4(볼빨간사춘기) - Hard To Love(나만 안되는 연애),huqO1Efm7kI,3:40,나만 안 되는 연애,볼빨간 사춘기,Q3,Q3,2016,3,0,0.19746434231378765,610.602889339293,590.7319012233158,65.40639132514966,525.3255098981662,0.011320142075419426,27143968,0.3057321029876878
볼빨간사춘기(BOL4) - 나의 사춘기에게 [가사_Lyrics],3gMAEZCOFtE,3:44,나의 사춘기에게,볼빨간 사춘기,Q3,Q3,2018,3,0,0.164775684396794,1254.2308300903342,567.3229357134148,65.40639132514966,501.91654438826515,0.005285731051117182,41824018,0.4571947250350515
[Lyrics Video] BOL4(볼빨간사춘기) - Blue,t1yHpqup87M,3:07,Blue,볼빨간 사춘기,Q3,Q3,2017,3,0,0.10848175364304397,507.1109504481676,493.88330125612407,65.40639132514966,428.47690993097444,0.010651446878910065,32460244,0.5089074278635415
SISTAR (씨스타) – Alone (나혼자) [Han_Rom_Eng] Color Coded Lyrics,VLlUcHvKcck,3:25,나 혼자,씨스타,Q2,Q3,2012,3,0,0.08462671349269288,75.1222205153968,491.03874275729817,65.40639132514966,425.63235143214854,0.01027294434607029,55741172,0.7223405622889654
Sistar (씨스타) - Give It To Me (Full Audio) [Give It To Me],VufRgvGYI1s,3:25,Give It To Me,씨스타,Q2,Q3,2013,3,0,0.12797281993204984,386.03049549243354,702.5025799938518,65.40639132514966,637.0961886687021,0.009238740429282188,56091148,0.726379625547506
SISTAR - LONELY Color Coded Lyrics [Han_Rom_Eng],_nCEtTSOSj4,3:27,Lonely,씨스타,Q2,Q2,2017,3,0,0.1662544964028777,708.5887368342736,175.62564499846297,65.40639132514966,110.21925367331332,0.011519495397806168,30717860,0.3918871064012661
BIGBANG(빅뱅) - LOSER [가사_Lyrics],3-gjXQ-P4j0,3:40,Loser,빅뱅,Q3,Q3,2015,3,0,0.1517299756639509,446.4995979854817,175.62564499846297,65.40639132514966,110.21925367331332,0.01850885897874832,40285472,0.4551008840139308
IF YOU,h9hdorPqukU,4:25,If You,빅뱅,Q3,Q3,2015,3,0,0.14527887571365833,295.99478486918025,141.8307339283537,65.40639132514966,76.42434260320405,0.012189322151243687,23715690,0.1843394085761665
BIGBANG(빅뱅) - LAST DANCE [가사_Lyrics],w2Qex0zIKJs,4:40,Last Dance,빅뱅,Q3,Q3,2016,3,0,0.17994858611825193,784.7764709048852,260.1187129259726,65.40639132514966,194.71232160082295,0.004838779103010893,48774130,0.3377797038970646
1.그댈 마주하는건 힘들어 (그마힘) - It's Hard To Face You,LE-Bl8cJ1rY,3:08,그댈 마주하는 건 힘들어,버스커버스커,Q3,Q3,2012,3,0,0.1355429136779619,626.2575416547651,425.01198472693204,65.40639132514966,359.60559340178236,0.007276649121195078,31532128,0.48737489005051354
6.외로움증폭장치 - Loneliness Amplifier,gwhFvXF-6t8,3:06,외로움증폭장치,버스커버스커,Q3,Q3,2012,3,0,0.1516024036054081,568.5431023820407,343.22869944588433,65.40639132514966,277.82230812073465,0.0029704254120588303,12327278,0.19526514482511514
"4.처음엔 사랑이란게 - Love, At First",h_lGsTnWohA,4:05,처음엔 사랑이란 게,버스커버스커,Q3,Q3,2013,3,0,0.13068289899182042,951.8894545399744,218.73289323986043,65.40639132514966,153.32650191471078,0.0082608787342906,40496362,0.3693160797193223
FAKE LOVE,0tWU94w_3ig,4:03,Fake Love,BTS,Q2,Q3,2018,3,0,0.1602951039570758,669.0728583714334,100.87044475251382,65.40639132514966,35.46405342736416,0.016613194718956947,33284578,0.30806038152584236
BTS - Danger (방탄소년단 - Danger) [Color Coded Lyrics_Han_Rom_Eng_가사],abm8QCh7pBg,4:05,Danger,BTS,Q2,Q2,2014,3,0,0.17261678693505508,526.7269520888648,91.43616857570666,65.40639132514966,26.029777250557004,0.018905701115727425,93267680,0.8476598253870027
The Truth Untold (Feat. Steve Aoki),ITc-om9SVr4,4:03,전하지 못한 진심,BTS,Q3,Q3,2018,3,0,0.2620987062769526,840.5470363114441,564.0553960451207,65.40639132514966,498.649004719971,0.012398846447467804,22340804,0.20685152787224953
케이윌(K.will) - 그립고 그립고 그립다 [가사_Lyrics],UczuiyzK5cQ,4:18,그립고 그립고 그립다,케이윌,Q3,Q3,2009,3,0,0.22545749571802037,1370.309335261279,398.84739550836855,65.40639132514966,333.44100418321887,0.009837198071181774,25060982,0.20522687285727095
I hate myself (내가 싫다),-AAkBfgBxmA,3:54,내가 싫다,케이윌,Q3,Q3,2011,3,0,0.17103036336485813,1222.0181980886905,797.6947910167371,65.40639132514966,732.2883996915874,0.016709772869944572,18388536,0.18379345224626972
Dropping the Tears (눈물이 뚝뚝),MKkrSBjNIvw,4:19,눈물이 뚝뚝,케이윌,Q3,Q3,2009,3,0,0.21857284261675516,842.4365043671,532.3973992564887,65.40639132514966,466.991007931339,0.011427836492657661,29536380,0.24100319225575056
에일리(Ailee) - 저녁 하늘 [가사_Lyrics],8JINsWbZVEA,3:55,저녁 하늘,에일리,Q3,Q3,2012,3,0,0.13411251980982566,1188.6964653981051,208.85526660911424,65.40639132514966,143.44887528396458,0.004395596217364073,31774008,0.31436735213849987
[Audio] 헤이즈 (Heize) - 비도 오고 그래서 (Feat. 신용재),N8frr93imY8,3:26,비도 오고 그래서,헤이즈,Q3,Q3,2017,3,0,0.19724200293884933,636.5832722462488,636.7984644737662,65.40639132514966,571.3920731486165,0.028370819985866547,25072558,0.3234366651264035
불티 Spark,8a_kJWcAOvU,3:38,불티,태연,Q2,Q2,2019,3,0,0.13232473897293842,465.24517671408455,290.2917403700367,65.40639132514966,224.88534904488702,0.01278595719486475,49929088,0.5719189078630401
비스트(Beast) - 비가 오는 날엔 [가사_Lyrics],B-AqBu0D0q8,3:46,비가 오는 날엔,비스트,Q3,Q3,2011,3,0,0.15186099115772156,493.5959009959461,269.2917795270241,65.40639132514966,203.88538820187446,0.005285109393298626,53545038,0.5710242058636728
[MP3_DL] BEAST (B2ST) (비스트) - No More (이젠 아니야),na6BLM8sCTc,4:00,이젠 아니야,비스트,Q3,Q3,2013,3,0,0.1347160302384183,788.0743453074946,142.65235101161107,65.40639132514966,77.24595968646142,0.01774684339761734,58111516,0.5503719341313565
