video,yt_id,duration,title,singer,audio,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance
우주를 줄게,0i2wOl5PDOw,3:34,우주를 줄게,볼빨간 사춘기,Q3,Q4,2016,1,1,0.0916395222584147,159.24357357166184,523.2511306011972,65.40639132514966,457.8447392760475,0.0149657139554619,41862020,0.4981020680637791,C,major,0.9374516010284424,5.383816841722545
Lead me (LEAD ME),8l93E8mAJfU,3:43,Lead Me,씨스타,Q3,Q1,2013,1,1,0.0694111516414799,57.57138404496219,141.8307339283537,65.40639132514966,76.42434260320405,0.0102403694763779,35331482,0.3871932370250008,E,major,0.7692506313323975,2.9651432685403405
I Choose To Love You (널 사랑하겠어),CXETtH7hlkk,3:31,널 사랑하겠어,씨스타,Q3,Q1,2013,1,1,0.1148499558693733,641.2514656490007,698.4564628660077,65.40639132514966,633.050071540858,0.0141314044594764,55187264,0.6780806606305035,C,major,0.8441535234451294,3.661482194931812
Mirror Mirror (거울아 거울아),0o58LfAUZPA,3:37,거울아 거울아,포미닛,Q3,Q1,2011,1,1,0.1078473413379073,614.6804731540113,121.34967043801213,65.40639132514966,55.943279112862456,0.0132027491927146,69073638,0.8011276899197186,Ab,minor,0.8282456398010254,1.713850975693368
새벽한시 (1AM),6sbCVsiQrlk,3:12,새벽한시 1AM,태양,Q3,Q1,2014,1,1,0.177758954501452,467.51208170077655,107.48759652776704,65.40639132514966,42.0812052026174,0.0127530787140131,24650916,0.3646959505991902,G,major,0.8937614560127258,3.5260768303997745
하루하루 (Haru Haru),c84VnpGFbrw,4:17,하루하루,빅뱅,Q3,Q4,2008,1,1,0.1370471014492753,412.78691070678434,349.2282314330038,65.40639132514966,283.8218401078542,0.0158779080957174,77508160,0.6408545715397294,F#,major,0.9584893584251404,4.568790242927909
2 빛이 되어줘 (선공개곡),zlVJBoBPy0c,3:27,빛이 되어줘,블락비,Q3,Q4,2013,1,1,0.176,715.4676910136878,508.35518662380014,65.40639132514966,442.94879529865045,0.0148297837004065,47264990,0.6058599986135654,G,major,0.9554317593574524,4.208830226003708
여수 밤바다,eO8w9xFArpE,4:41,여수밤바다,버스커버스커,Q3,Q4,2012,1,1,0.1154579361790302,1229.440969345318,263.1411467822288,65.40639132514966,197.73475545707916,0.0051560602150857,45107608,0.3120758965656312,E,major,0.9044310450553894,3.039554064541926
예뻤어 You Were Beautiful,Mhyi9p7T7OM,4:44,예뻤어,데이식스,Q3,Q1,2017,1,1,0.1161951619516195,1216.9710615777744,171.61434972294217,65.40639132514966,106.20795839779252,0.0135316783562302,54578476,0.3695644142623724,Eb,major,0.8924136757850647,5.773342741637343
Summer (뜨거운 여름밤은 가고 남은 건 볼품없지만),Kx8pJzPodsY,4:03,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,Q3,Q4,2016,1,1,0.1125549398050831,1497.0680281766672,142.65235101161107,65.40639132514966,77.24595968646142,0.0107183093205094,40132850,0.3693795615090277,Eb,major,0.8491999506950378,5.112361364222792
