video,yt_id,duration,title,singer,audio,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,harmonicity,zcr,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6
상상.wav,QEpKgCzikTE,2:56,상상,볼빨간 사춘기,Q1,Q3,2016,0,1,0.0931989924433249,146.71445949493616,587.329535834815,65.40639132514966,521.9231445096653,0.0099031450226902,25694208,0.4567250233302226,G,major,0.935098111629486,4.496635846379828,0.32576215267181396,0.29400894045829773,0.39876803755760193,0.24457329511642456,0.2740675210952759,0.2254621684551239,0.3959706127643585,0.40810421109199524,0.22200118005275726,0.23660783469676971,0.22351326048374176,0.32778677344322205,0.7465864419937134,0.10007791267565955,-102.59457397460938,85.36697387695312,-5.968208312988281,24.820955276489258,10.868891716003418,3.0894522666931152,0.27892011404037476,-0.520294725894928,2.7690680027008057,-1.774649977684021,-9.19826889038086,-2.6230146884918213,-8.106948852539062,20.51467041167041,18.025162736161608,21.951373077669597,20.6188191396675,20.14238290958323,19.943285985946574,46.82844298786467
Bad boy (바빠 (BAD BOY)).wav,LD_LbLnzSDE,3:33,바빠,씨스타,Q1,Q2,2013,0,1,0.1040122110771914,293.76403563510485,594.1539763140034,65.40639132514966,528.7475849888538,0.0091779995709657,58511404,0.702015230881402,G,major,0.945675253868103,4.187258988250258,0.25874289870262146,0.2848057448863983,0.4690820872783661,0.3090144693851471,0.3357234597206116,0.2531333565711975,0.3686167299747467,0.4818964898586273,0.330092191696167,0.43876907229423523,0.27037352323532104,0.314467191696167,0.6729295253753662,0.1269412001199302,-56.08311462402344,74.38973999023438,-7.277773857116699,12.886018753051758,1.9878016710281372,0.7575832605361938,2.277210235595703,-4.392915725708008,3.877917766571045,2.8434863090515137,-5.880319118499756,2.20320725440979,-3.8044400215148926,18.937423685501493,15.842121961554325,19.64927932332856,19.89865850787903,20.423140326979418,19.1117056404216,46.781196133428985
Shady Girl (가식걸).wav,-94h_QBJcKg,3:16,가식걸,씨스타,Q1,Q2,2010,0,1,0.0746463806014501,174.74628081276978,496.74433811469765,65.40639132514966,431.337946789548,0.0113169932737946,61639482,0.8797437303816855,C#,minor,0.832021176815033,3.231397974789239,0.3495997488498688,0.41089335083961487,0.29419708251953125,0.3648521304130554,0.47239139676094055,0.3471197187900543,0.4527169466018677,0.3796309232711792,0.5147126913070679,0.38335466384887695,0.3457265794277191,0.4782358705997467,0.5808612704277039,0.12531509317796863,-38.76866149902344,77.14694213867188,-7.366151332855225,22.61175537109375,2.112999439239502,-0.29948416352272034,10.25643253326416,-0.5663350820541382,8.601045608520508,2.6373536586761475,-0.29251065850257874,4.014440536499023,-4.191670894622803,18.66449004697236,15.248926331208684,18.602660046401923,20.725746088791194,19.33261268644914,19.58608175593795,46.487111349788734
Ma boy (MA BOY).wav,p3wgNv2xeA8,3:19,Ma Boy,씨스타,Q4,Q2,2011,0,1,0.1091759205143191,218.36848317740504,1034.4821575295755,65.40639132514966,969.075766204426,0.0118382396176457,45843616,0.6326516102307925,Bb,major,0.9471702575683594,2.943917652212527,0.3620976507663727,0.288869172334671,0.39738139510154724,0.30446282029151917,0.2847398519515991,0.4003959894180298,0.3093909025192261,0.3458908796310425,0.2919214963912964,0.3988495469093323,0.501785397529602,0.2957020103931427,0.6853933930397034,0.11793370561805962,-70.47623443603516,83.91441345214844,-9.613619804382324,9.83542537689209,0.18350522220134735,-2.649000406265259,9.0640869140625,-9.201438903808594,7.821049690246582,-0.33682119846343994,-4.6033549308776855,2.4350712299346924,-1.493486762046814,18.453774204034534,16.489711439281383,19.508140111316497,20.95048559705467,20.509740464507683,20.574152760590156,46.86885365110762
SOBER.wav,zT3VfvAjvtk,3:58,맨정신,빅뱅,Q1,Q2,2015,0,1,0.1533424550430023,938.9384759505966,121.34967043801213,65.40639132514966,55.943279112862456,0.0099307708442211,74882112,0.721227601087243,C,major,0.9044189453125,4.936439168166574,0.43846750259399414,0.3531336188316345,0.38942238688468933,0.3498009145259857,0.4893220365047455,0.408507764339447,0.3618125319480896,0.42198705673217773,0.3892262876033783,0.44605863094329834,0.361791729927063,0.4212174117565155,0.7232769727706909,0.10602684706985438,-2.1401779651641846,74.98583221435547,-3.293466567993164,23.63654327392578,5.509230613708496,11.642681121826172,0.26229292154312134,7.513523578643799,5.049427509307861,10.002025604248047,3.0727179050445557,3.8972246646881104,1.2013870477676392,18.97416308273626,14.481347083035132,18.18320319901029,17.17780910989477,18.16900587194466,16.879662024513394,47.386234134451186
삐딱하게 (Crooked).wav,ywoyAdPEyTg,3:45,삐딱하게,GD,Q1,Q2,2013,0,1,0.1942780417269159,879.2828262332335,106.86851352689663,65.40639132514966,41.46212220174699,0.0129108661785721,76434612,0.822585502619674,D,major,0.8816988468170166,2.592962306181897,0.38380762934684753,0.4449090361595154,0.5248057842254639,0.43402525782585144,0.46609824895858765,0.3542833924293518,0.3945561349391937,0.3806811273097992,0.4282721281051636,0.5359306335449219,0.40595486760139465,0.4782863259315491,0.6578648090362549,0.13280579256287442,2.6126298904418945,63.460609436035156,-2.1220862865448,23.10856819152832,1.4798333644866943,4.432906627655029,1.7383193969726562,8.443291664123535,0.4173453748226166,8.08690071105957,-0.23908697068691254,0.4771951138973236,1.8135747909545898,21.245664520019385,15.268549186464064,17.776142786745943,17.90136480240126,17.510982016208036,16.910485650885402,47.17304707874006
니가 뭔데 (Who You_).wav,VV2PwivrfOU,3:22,니가 뭔데,GD,Q1,Q2,2013,0,1,0.1324495677233429,212.1524484847478,573.9149106968482,65.40639132514966,508.5085193716985,0.0109289530664682,38956930,0.5227710778961304,C#,major,0.910603165626526,5.020322689577001,0.3717884123325348,0.47823819518089294,0.3318791389465332,0.36877280473709106,0.2961868643760681,0.368374764919281,0.3190087378025055,0.3333456218242645,0.44763365387916565,0.3308013081550598,0.3348837196826935,0.26693692803382874,0.6680107116699219,0.12035049306556196,-56.98172378540039,79.60969543457031,-4.933850288391113,21.429611206054688,-0.9556039571762085,4.117927074432373,-4.605663776397705,6.195492267608643,-4.401043891906738,10.257405281066895,-0.013582604937255383,2.2723684310913086,4.044677257537842,19.805275192353655,16.439155112204947,20.039209946900517,18.608232852204026,19.039471379760162,18.192454012731115,49.29534624938426
첫사랑.wav,_sQhN4dLC60,3:30,첫사랑,버스커버스커,Q4,Q3,2012,0,1,0.139933628318584,969.8061640985982,514.2619893669481,65.40639132514966,448.8555980417984,0.0084869274869561,55656724,0.6875019439810801,C,major,0.865552544593811,4.266770037524171,0.3894793689250946,0.26046544313430786,0.3527395725250244,0.3011355996131897,0.3989679217338562,0.26472941040992737,0.29742684960365295,0.41798537969589233,0.27102240920066833,0.31150931119918823,0.23183326423168182,0.3630281984806061,0.7706482410430908,0.09663636874308629,-39.644248962402344,100.17511749267578,-4.600089073181152,14.653162956237793,1.9529930353164673,10.992377281188965,2.0709939002990723,4.632920265197754,-2.080129861831665,8.316632270812988,-1.6694697141647339,3.468594551086426,-2.270498514175415,20.90257250462,17.19867287566975,21.040659678003735,21.093334257930486,20.663718146587488,18.730539247006472,48.067063916090774
3. 사랑은 타이밍.wav,eoRV-cuLsCo,4:12,사랑은 타이밍,버스커버스커,Q4,Q3,2013,0,1,0.0954360679970436,625.8795224362494,149.39896882100535,65.40639132514966,83.9925774958557,0.0100109409540891,62689962,0.5393114403898076,A,major,0.8846824765205383,2.882088659618552,0.2573038637638092,0.3118099272251129,0.3116684556007385,0.31551966071128845,0.4309912621974945,0.38618147373199463,0.4705478847026825,0.35444140434265137,0.3601940870285034,0.4462311267852783,0.33022210001945496,0.362661212682724,0.7803942561149597,0.07910151738901977,-77.06869506835938,98.49154663085938,12.690020561218262,20.32943344116211,9.235050201416016,12.41258430480957,4.87978982925415,7.002601146697998,-2.580275535583496,7.577125549316406,0.5468966960906982,1.0238540172576904,-3.124333143234253,20.81143788922269,17.336595053326977,20.283744337916737,20.47866615569299,19.734607321732398,18.28295814495051,49.65920991560659
1. 서울사람들.wav,zXKAS3zIp1s,3:27,서울사람들,버스커버스커,Q1,Q3,2012,0,1,0.1876548772246001,567.2478197483739,165.76853496220332,65.40639132514966,100.36214363705366,0.0064934128895401,62291718,0.7979359788363855,F,minor,0.9014140367507936,4.505781625667143,0.4631361961364746,0.3009899854660034,0.32290324568748474,0.4157247841358185,0.4003886580467224,0.4535655975341797,0.3508204519748688,0.40742552280426025,0.38809213042259216,0.35167181491851807,0.4289661943912506,0.39990323781967163,0.6590619087219238,0.12755030429854697,10.430585861206055,82.70106506347656,-13.258862495422363,18.992902755737305,1.5460795164108276,8.657371520996094,-0.40287458896636963,1.4993377923965454,-2.849851131439209,3.816757917404175,-1.1567531824111938,1.1061933040618896,-3.4663243293762207,17.866963862948303,15.084902365365048,17.992328458663636,18.097468311022904,17.000768860259463,17.032665419651973,48.43214969495566
